nama_proyek,periode,nama_di,nama_gambar,url
Oplah - BANTEN - Tahap II - Paket 1,,,./Oplah - BANTEN - Tahap II - Paket 1/9ufu3h9ufu3h9ufu E1.jpg,https://raw.githubusercontent.com/bimwaskita/OPLAH-WSKT/refs/heads/main/./Oplah%20-%20BANTEN%20-%20Tahap%20II%20-%20Paket%201/9ufu3h9ufu3h9ufu%20E1.jpg
Oplah - BANTEN - Tahap II - Paket 1,M3,M3 D.I Citasuk Banten Paket I,./Oplah - BANTEN - Tahap II - Paket 1/M3/1. M3 D.I Citasuk Banten Paket I/m3 citasuk 1.png,https://raw.githubusercontent.com/bimwaskita/OPLAH-WSKT/refs/heads/main/./Oplah%20-%20BANTEN%20-%20Tahap%20II%20-%20Paket%201/M3/1.%20M3%20D.I%20Citasuk%20Banten%20Paket%20I/m3%20citasuk%201.png
Oplah - BANTEN - Tahap II - Paket 1,M3,M3 D.I Citasuk Banten Paket I,./Oplah - BANTEN - Tahap II - Paket 1/M3/1. M3 D.I Citasuk Banten Paket I/m3 citasuk 2.png,https://raw.githubusercontent.com/bimwaskita/OPLAH-WSKT/refs/heads/main/./Oplah%20-%20BANTEN%20-%20Tahap%20II%20-%20Paket%201/M3/1.%20M3%20D.I%20Citasuk%20Banten%20Paket%20I/m3%20citasuk%202.png
Oplah - BANTEN - Tahap II - Paket 1,M3,M3 D.I Citasuk Banten Paket I,./Oplah - BANTEN - Tahap II - Paket 1/M3/1. M3 D.I Citasuk Banten Paket I/m3 citasuk 3.png,https://raw.githubusercontent.com/bimwaskita/OPLAH-WSKT/refs/heads/main/./Oplah%20-%20BANTEN%20-%20Tahap%20II%20-%20Paket%201/M3/1.%20M3%20D.I%20Citasuk%20Banten%20Paket%20I/m3%20citasuk%203.png
Oplah - BANTEN - Tahap II - Paket 1,M3,M3 D.I Citasuk Banten Paket I,./Oplah - BANTEN - Tahap II - Paket 1/M3/1. M3 D.I Citasuk Banten Paket I/m3 citasuk 4.png,https://raw.githubusercontent.com/bimwaskita/OPLAH-WSKT/refs/heads/main/./Oplah%20-%20BANTEN%20-%20Tahap%20II%20-%20Paket%201/M3/1.%20M3%20D.I%20Citasuk%20Banten%20Paket%20I/m3%20citasuk%204.png
Oplah - BANTEN - Tahap II - Paket 1,M3,M3 D.I Ciwaka Banten Paket I,./Oplah - BANTEN - Tahap II - Paket 1/M3/10. M3 D.I Ciwaka Banten Paket I/m3 ciwaka 1.png,https://raw.githubusercontent.com/bimwaskita/OPLAH-WSKT/refs/heads/main/./Oplah%20-%20BANTEN%20-%20Tahap%20II%20-%20Paket%201/M3/10.%20M3%20D.I%20Ciwaka%20Banten%20Paket%20I/m3%20ciwaka%201.png
Oplah - BANTEN - Tahap II - Paket 1,M3,M3 D.I Ciwaka Banten Paket I,./Oplah - BANTEN - Tahap II - Paket 1/M3/10. M3 D.I Ciwaka Banten Paket I/m3 ciwaka.png,https://raw.githubusercontent.com/bimwaskita/OPLAH-WSKT/refs/heads/main/./Oplah%20-%20BANTEN%20-%20Tahap%20II%20-%20Paket%201/M3/10.%20M3%20D.I%20Ciwaka%20Banten%20Paket%20I/m3%20ciwaka.png
Oplah - BANTEN - Tahap II - Paket 1,M3,M3 D.I  Demang Banten Paket I,./Oplah - BANTEN - Tahap II - Paket 1/M3/2. M3 D.I  Demang Banten Paket I/m4 demang 1.png,https://raw.githubusercontent.com/bimwaskita/OPLAH-WSKT/refs/heads/main/./Oplah%20-%20BANTEN%20-%20Tahap%20II%20-%20Paket%201/M3/2.%20M3%20D.I%20%20Demang%20Banten%20Paket%20I/m4%20demang%201.png
Oplah - BANTEN - Tahap II - Paket 1,M3,M3 D.I  Demang Banten Paket I,./Oplah - BANTEN - Tahap II - Paket 1/M3/2. M3 D.I  Demang Banten Paket I/m4 demang 2.png,https://raw.githubusercontent.com/bimwaskita/OPLAH-WSKT/refs/heads/main/./Oplah%20-%20BANTEN%20-%20Tahap%20II%20-%20Paket%201/M3/2.%20M3%20D.I%20%20Demang%20Banten%20Paket%20I/m4%20demang%202.png
Oplah - BANTEN - Tahap II - Paket 1,M3,M3 D.I Ranca Serang Banten Paket I,./Oplah - BANTEN - Tahap II - Paket 1/M3/3. M3 D.I Ranca Serang Banten Paket I/m3 Ranca serang 2.png,https://raw.githubusercontent.com/bimwaskita/OPLAH-WSKT/refs/heads/main/./Oplah%20-%20BANTEN%20-%20Tahap%20II%20-%20Paket%201/M3/3.%20M3%20D.I%20Ranca%20Serang%20Banten%20Paket%20I/m3%20Ranca%20serang%202.png
